35028605 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 115 | 16 | Disease | disease | hypersensitivity
37020549 | @GENE_CALCA | Calca | 1723 | 10 | Gene | gene | calcitonin
37020549 | @CHEMICAL_Hesperidin | Hesperidin | 1759 | 10 | Chemical | chemical | hesperidin
37020549 | @DISEASE_Hyperthyroidism | Hyperthyroidism | 1785 | 15 | Disease | disease | hyperthyroidism
37020549 | @DISEASE_Inflammation | Inflammation | 1954 | 12 | Disease | disease | inflammation
37020549 | @DISEASE_Inflammation | Inflammation | 2072 | 12 | Disease | disease | inflammatory
37200378 | @GENE_S | S | 125 | 5 | Gene | gene | spike
37200378 | @GENE_ACE2 | ACE2 | 275 | 4 | Gene | gene | ACE2
37200378 | @CHEMICAL_Sulfur | Sulfur | 985 | 1 | Chemical | chemical | S
37200378 | @VARIANT_p.A1016L_ACE2_human | p.A1016L | 1233 | 6 | Variant | variant | A1016L
37200378 | @VARIANT_p.A1016V_ACE2_human | p.A1016V | 1244 | 6 | Variant | variant | A1016V
37200378 | @VARIANT_p.A1020I_ACE2_human | p.A1020I | 1251 | 6 | Variant | variant | A1020I
37200378 | @GENE_ACE2 | ACE2 | 1327 | 4 | Gene | gene | ACE2
37200378 | @VARIANT_p.A1016L_ACE2_human | p.A1016L | 1437 | 6 | Variant | variant | A1016L
37200378 | @VARIANT_p.A1016V_ACE2_human | p.A1016V | 1454 | 6 | Variant | variant | A1016V
37200378 | @VARIANT_p.A1020I_ACE2_human | p.A1020I | 1461 | 6 | Variant | variant | A1020I
37255871 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 142 | 23 | Chemical | chemical | reactive oxygen species
37255871 | @GENE_SLC16A2 | Slc16a2 | 171 | 29 | Gene | gene | monocarboxylate transporter 8
37255871 | @CHEMICAL_6_trimethylsilylthio_9_trimethylsilylpurine | 6-trimethylsilylthio-9-trimethylsilylpurine | 298 | 2 | Chemical | chemical | MP
37255871 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 397 | 23 | Chemical | chemical | reactive oxygen species
37255871 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 422 | 3 | Chemical | chemical | ROS
37255871 | @GENE_SLC16A2 | Slc16a2 | 432 | 29 | Gene | gene | monocarboxylate transporter 8
37255871 | @GENE_SLC16A2 | Slc16a2 | 463 | 4 | Gene | gene | MCT8
37255871 | @CHEMICAL_Thyroxine | Thyroxine | 683 | 9 | Chemical | chemical | thyroxine
37255871 | @CHEMICAL_Malondialdehyde | Malondialdehyde | 703 | 15 | Chemical | chemical | malondialdehyde
37255871 | @CHEMICAL_Malondialdehyde | Malondialdehyde | 720 | 3 | Chemical | chemical | MDA
37255871 | @GENE_SLC16A2 | Slc16a2 | 739 | 4 | Gene | gene | MCT8
37255871 | @DISEASE_Hypothyroidism | Hypothyroidism | 1086 | 14 | Disease | disease | hypothyroidism
37255871 | @CHEMICAL_6_trimethylsilylthio_9_trimethylsilylpurine | 6-trimethylsilylthio-9-trimethylsilylpurine | 1108 | 2 | Chemical | chemical | MP
37255871 | @CHEMICAL_Malondialdehyde | Malondialdehyde | 1135 | 3 | Chemical | chemical | MDA
37255871 | @GENE_SLC16A2 | Slc16a2 | 1153 | 4 | Gene | gene | MCT8
37255871 | @GENE_SLC16A2 | Slc16a2 | 1394 | 4 | Gene | gene | MCT8
37255871 | @DISEASE_Thyroid_Diseases | Thyroid Diseases | 1416 | 19 | Disease | disease | thyroid dysfunction
37255871 | @CHEMICAL_6_trimethylsilylthio_9_trimethylsilylpurine | 6-trimethylsilylthio-9-trimethylsilylpurine | 1443 | 2 | Chemical | chemical | MP
37335032 | @GENE_CD4 | CD4 | 44 | 3 | Gene | gene | CD4
37335032 | @DISEASE_HIV_Infections | HIV Infections | 62 | 14 | Disease | disease | HIV-1-infected
37335032 | @GENE_CD4 | CD4 | 313 | 3 | Gene | gene | CD4
37335032 | @GENE_MLC1 | MLC1 | 332 | 2 | Gene | gene | VL
37335032 | @GENE_MLC1 | MLC1 | 464 | 2 | Gene | gene | VL
37335032 | @DISEASE_Duane_Retraction_Syndrome | Duane Retraction Syndrome | 828 | 2 | Disease | disease | DR
37335032 | @GENE_CD4 | CD4 | 1043 | 3 | Gene | gene | CD4
37335032 | @GENE_MLC1 | MLC1 | 1338 | 2 | Gene | gene | VL
37335032 | @GENE_CD4 | CD4 | 1364 | 3 | Gene | gene | CD4
37335032 | @CHEMICAL_Tenofovir | Tenofovir | 1503 | 3 | Chemical | chemical | TDF
37335032 | @CHEMICAL_Stavudine | Stavudine | 1627 | 3 | Chemical | chemical | D4T
37335032 | @CHEMICAL_Zidovudine | Zidovudine | 1631 | 3 | Chemical | chemical | AZT
37335032 | @CHEMICAL_Nevirapine | Nevirapine | 1638 | 3 | Chemical | chemical | NVP
37335032 | @GENE_CD4 | CD4 | 1729 | 3 | Gene | gene | CD4
37489616 | @GENE_IL2 | IL2 | 35 | 13 | Gene | gene | interleukin-2
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 68 | 26 | Disease | disease | autoimmune thyroid disease
37489616 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 111 | 28 | Disease | disease | systemic lupus erythematosus
37489616 | @GENE_IL2 | IL2 | 164 | 13 | Gene | gene | interleukin-2
37489616 | @GENE_IL2 | IL2 | 179 | 4 | Gene | gene | IL-2
37489616 | @GENE_CD4 | CD4 | 214 | 3 | Gene | gene | CD4
37489616 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 341 | 28 | Disease | disease | systemic lupus erythematosus
37489616 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 371 | 3 | Disease | disease | SLE
37489616 | @GENE_IL2 | IL2 | 456 | 4 | Gene | gene | IL-2
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 474 | 26 | Disease | disease | autoimmune thyroid disease
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 502 | 4 | Disease | disease | AITD
37489616 | @GENE_IL2 | IL2 | 561 | 4 | Gene | gene | IL-2
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 569 | 4 | Disease | disease | AITD
37489616 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 599 | 3 | Disease | disease | SLE
37489616 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 701 | 3 | Disease | disease | SLE
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 730 | 4 | Disease | disease | AITD
37489616 | @GENE_IL2 | IL2 | 768 | 4 | Gene | gene | IL-2
37489616 | @GENE_IL2 | IL2 | 811 | 4 | Gene | gene | IL-2
37489616 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 958 | 16 | Chemical | chemical | triiodothyronine
37489616 | @CHEMICAL_Thyroxine | Thyroxine | 987 | 9 | Chemical | chemical | thyroxine
37489616 | @CHEMICAL_Thyroxine | Thyroxine | 1004 | 9 | Chemical | chemical | thyroxine
37489616 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 1019 | 16 | Chemical | chemical | triiodothyronine
37489616 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 1036 | 2 | Chemical | chemical | T3
37489616 | @GENE_TG | TG | 1076 | 13 | Gene | gene | thyroglobulin
37489616 | @GENE_TPO | TPO | 1108 | 18 | Gene | gene | thyroid peroxidase
37489616 | @GENE_TPO | TPO | 1137 | 3 | Gene | gene | TPO
37489616 | @GENE_IL2 | IL2 | 1227 | 4 | Gene | gene | IL-2
37489616 | @GENE_TPO | TPO | 1255 | 3 | Gene | gene | TPO
37489616 | @GENE_TPO | TPO | 1309 | 3 | Gene | gene | TPO
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 1352 | 4 | Disease | disease | AITD
37489616 | @GENE_IL2 | IL2 | 1446 | 4 | Gene | gene | IL-2
37489616 | @GENE_CD4 | CD4 | 1472 | 3 | Gene | gene | CD4
37489616 | @GENE_IL2 | IL2 | 1760 | 4 | Gene | gene | IL-2
37489616 | @GENE_TPO | TPO | 1806 | 3 | Gene | gene | TPO
37489616 | @DISEASE_Thyroiditis_Autoimmune | Thyroiditis Autoimmune | 1918 | 4 | Disease | disease | AITD
37516153 | @GENE_UBXN11 | UBXN11 | 490 | 3 | Gene | gene | Soc
37516153 | @GENE_CD79A | CD79A | 874 | 3 | Gene | gene | IgA
37516153 | @GENE_CD4 | CD4 | 937 | 3 | Gene | gene | CD4
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 106 | 24 | Disease | disease | gastrointestinal cancers
37771863 | @GENE_RSU1 | RSU1 | 144 | 16 | Gene | gene | Ras suppressor 1
37771863 | @GENE_RSU1 | RSU1 | 162 | 4 | Gene | gene | RSU1
37771863 | @GENE_RSU1 | RSU1 | 308 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 390 | 5 | Disease | disease | tumor
37771863 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 414 | 10 | Disease | disease | metastasis
37771863 | @GENE_RSU1 | RSU1 | 459 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 468 | 24 | Disease | disease | gastrointestinal cancers
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 494 | 4 | Disease | disease | GICs
37771863 | @DISEASE_Neoplasms | Neoplasms | 543 | 5 | Disease | disease | tumor
37771863 | @GENE_RSU1 | RSU1 | 614 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 668 | 5 | Disease | disease | tumor
37771863 | @GENE_RSU1 | RSU1 | 732 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 750 | 6 | Disease | disease | tumors
37771863 | @GENE_RSU1 | RSU1 | 915 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 948 | 10 | Disease | disease | GIC cancer
37771863 | @GENE_RSU1 | RSU1 | 1013 | 4 | Gene | gene | RSU1
37771863 | @GENE_RSU1 | RSU1 | 1129 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 1180 | 5 | Disease | disease | Tumor
37771863 | @GENE_RSU1 | RSU1 | 1259 | 4 | Gene | gene | RSU1
37771863 | @GENE_RSU1 | RSU1 | 1340 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 1401 | 14 | Disease | disease | gastric cancer
37771863 | @GENE_RSU1 | RSU1 | 1553 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 1599 | 14 | Disease | disease | gastric cancer
37771863 | @GENE_ERBB2 | ERBB2 | 1648 | 5 | Gene | gene | Her-2
37771863 | @GENE_RSU1 | RSU1 | 1710 | 4 | Gene | gene | RSU1
37771863 | @GENE_CD4 | CD4 | 1779 | 3 | Gene | gene | CD4
37771863 | @DISEASE_Colonic_Neoplasms | Colonic Neoplasms | 1848 | 25 | Disease | disease | colorectal adenocarcinoma
37771863 | @DISEASE_Stomach_Neoplasms | Stomach Neoplasms | 1878 | 22 | Disease | disease | stomach adenocarcinoma
37771863 | @GENE_RSU1 | RSU1 | 1902 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 2034 | 4 | Disease | disease | GICs
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 2055 | 24 | Disease | disease | gastrointestinal cancers
37771863 | @GENE_RSU1 | RSU1 | 2081 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 2102 | 5 | Disease | disease | tumor
37771863 | @GENE_RSU1 | RSU1 | 2167 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Neoplasms | Neoplasms | 2275 | 5 | Disease | disease | tumor
37771863 | @DISEASE_Neoplasms | Neoplasms | 2318 | 6 | Disease | disease | tumors
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 2328 | 4 | Disease | disease | GICs
37771863 | @GENE_RSU1 | RSU1 | 2350 | 4 | Gene | gene | RSU1
37771863 | @DISEASE_Gastrointestinal_Neoplasms | Gastrointestinal Neoplasms | 2431 | 4 | Disease | disease | GICs
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 105 | 24 | Disease | disease | neurocognitive disorders
37954593 | @DISEASE_HIV_Infections | HIV Infections | 143 | 13 | Disease | disease | HIV infection
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 206 | 25 | Disease | disease | neurocognitive impairment
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 233 | 3 | Disease | disease | NCI
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 350 | 3 | Disease | disease | NCI
37954593 | @DISEASE_HIV_Infections | HIV Infections | 421 | 15 | Disease | disease | HIV-1 infection
37954593 | @DISEASE_Inflammation | Inflammation | 620 | 12 | Disease | disease | inflammation
37954593 | @DISEASE_Leukoencephalopathies | Leukoencephalopathies | 701 | 29 | Disease | disease | White matter hyperintensities
37954593 | @DISEASE_Leukoencephalopathies | Leukoencephalopathies | 732 | 3 | Disease | disease | WMH
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 997 | 3 | Disease | disease | NCI
37954593 | @GENE_B3GAT1 | B3GAT1 | 1144 | 4 | Gene | gene | CD57
37954593 | @GENE_CD28 | CD28 | 1149 | 4 | Gene | gene | CD28
37954593 | @GENE_CD27 | CD27 | 1154 | 4 | Gene | gene | CD27
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 1249 | 3 | Disease | disease | NCI
37954593 | @DISEASE_Leukoencephalopathies | Leukoencephalopathies | 1373 | 28 | Disease | disease | periventricular and deep WMH
37954593 | @DISEASE_Neurocognitive_Disorders | Neurocognitive Disorders | 1801 | 3 | Disease | disease | NCI
38128800 | @DISEASE_Foot_and_Mouth_Disease | Foot-and-Mouth Disease | 60 | 28 | Disease | disease | foot-and-mouth disease virus
38128800 | @GENE_CD4 | CD4 | 792 | 3 | Gene | gene | CD4
38260276 | @DISEASE_HIV_Infections | HIV Infections | 259 | 3 | Disease | disease | HIV
38260276 | @GENE_CD4 | CD4 | 349 | 3 | Gene | gene | CD4
38260276 | @GENE_CD4 | CD4 | 804 | 3 | Gene | gene | CD4
38260276 | @DISEASE_HIV_Infections | HIV Infections | 1008 | 3 | Disease | disease | HIV
38260276 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 1108 | 2 | Chemical | chemical | T3
38260276 | @DISEASE_HIV_Seropositivity | HIV Seropositivity | 1714 | 5 | Disease | disease | anti-
38260276 | @DISEASE_Pain | Pain | 1853 | 4 | Disease | disease | pain
38260276 | @DISEASE_Myalgia | Myalgia | 1861 | 10 | Disease | disease | tenderness
38260276 | @DISEASE_Erythema | Erythema | 1936 | 8 | Disease | disease | erythema
38260276 | @DISEASE_Penile_Induration | Penile Induration | 1948 | 10 | Disease | disease | induration
38260276 | @CHEMICAL_Triiodothyronine | Triiodothyronine | 2316 | 2 | Chemical | chemical | T3
38455622 | @DISEASE_Hyperprolactinemia | Hyperprolactinemia | 32 | 18 | Disease | disease | hyperprolactinemia
38455622 | @DISEASE_Congenital_Hypothyroidism | Congenital Hypothyroidism | 88 | 25 | Disease | disease | congenital hypothyroidism
38455622 | @DISEASE_Congenital_Hypothyroidism | Congenital Hypothyroidism | 155 | 25 | Disease | disease | Congenital hypothyroidism
38455622 | @DISEASE_Thyroid_Hormone_Resistance_Syndrome | Thyroid Hormone Resistance Syndrome | 188 | 29 | Disease | disease | deficiency of thyroid hormone
38455622 | @DISEASE_Hyperprolactinemia | Hyperprolactinemia | 233 | 18 | Disease | disease | hyperprolactinemia
38455622 | @DISEASE_Intellectual_Disability | Intellectual Disability | 320 | 23 | Disease | disease | intellectual disability
38455622 | @DISEASE_Gonadal_Disorders | Gonadal Disorders | 497 | 17 | Disease | disease | gonad dysfunction
38455622 | @DISEASE_Hypoplastic_Left_Heart_Syndrome | Hypoplastic Left Heart Syndrome | 1226 | 26 | Disease | disease | hypoplasia of the left and
38455622 | @DISEASE_Thyroiditis | Thyroiditis | 1259 | 14 | Disease | disease | thyroid glands
38455622 | @DISEASE_Congenital_Hypothyroidism | Congenital Hypothyroidism | 1469 | 25 | Disease | disease | congenital hypothyroidism
38455622 | @DISEASE_Hyperprolactinemia | Hyperprolactinemia | 1499 | 18 | Disease | disease | hyperprolactinemia
38455622 | @CHEMICAL_Thyroxine | Thyroxine | 1579 | 13 | Chemical | chemical | levothyroxine
38455622 | @DISEASE_Congenital_Hypothyroidism | Congenital Hypothyroidism | 1702 | 25 | Disease | disease | congenital hypothyroidism
38455622 | @GENE_TRHR | TRHR | 1771 | 34 | Gene | gene | thyroid-releasing hormone receptor
38455622 | @GENE_TRHR | TRHR | 1807 | 4 | Gene | gene | TRHR
38455622 | @DISEASE_Hyperprolactinemia | Hyperprolactinemia | 1871 | 18 | Disease | disease | hyperprolactinemia
38455622 | @GENE_TRHR | TRHR | 1975 | 4 | Gene | gene | TRHR
38455622 | @DISEASE_Congenital_Hypothyroidism | Congenital Hypothyroidism | 1998 | 25 | Disease | disease | congenital hypothyroidism
38455636 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 28 | 25 | Disease | disease | leptomeningeal metastases
38455636 | @DISEASE_Nasopharyngeal_Neoplasms | Nasopharyngeal Neoplasms | 111 | 21 | Disease | disease | nasopharyngeal cancer
38455636 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 142 | 25 | Disease | disease | Leptomeningeal metastasis
38455636 | @DISEASE_Nasopharyngeal_Carcinoma | Nasopharyngeal Carcinoma | 181 | 24 | Disease | disease | nasopharyngeal carcinoma
38455636 | @DISEASE_Nasopharyngeal_Carcinoma | Nasopharyngeal Carcinoma | 349 | 53 | Disease | disease | leptomeningeal metastasis of nasopharyngeal carcinoma
38455636 | @DISEASE_Nasopharyngeal_Carcinoma | Nasopharyngeal Carcinoma | 448 | 24 | Disease | disease | nasopharyngeal carcinoma
38455636 | @DISEASE_Osteogenesis_imperfecta_type_3 | Osteogenesis imperfecta type 3 | 497 | 12 | Disease | disease | WHO type III
38455636 | @DISEASE_Pain | Pain | 813 | 12 | Disease | disease | sciatic pain
38455636 | @CHEMICAL_Methotrexate | Methotrexate | 1320 | 12 | Chemical | chemical | Methotrexate
38455636 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 1682 | 25 | Disease | disease | leptomeningeal metastases
38455636 | @DISEASE_Nasopharyngeal_Carcinoma | Nasopharyngeal Carcinoma | 1721 | 24 | Disease | disease | nasopharyngeal carcinoma
38455636 | @DISEASE_Nervous_System_Diseases | Nervous System Diseases | 1775 | 24 | Disease | disease | neurological impairments
38455636 | @DISEASE_Neoplasms | Neoplasms | 1872 | 6 | Disease | disease | cancer
38496355 | @GENE_IFNG | IFNG | 0 | 9 | Gene | gene | IFN-gamma
38496355 | @GENE_IL17A | IL17A | 11 | 5 | Gene | gene | IL-17
38496355 | @GENE_IL22 | IL22 | 18 | 5 | Gene | gene | IL-22
38496355 | @GENE_CD4 | CD4 | 25 | 3 | Gene | gene | CD4
38496355 | @GENE_CD4 | CD4 | 122 | 3 | Gene | gene | CD4
38496355 | @DISEASE_Hepatitis_C | Hepatitis C | 147 | 13 | Disease | disease | HCV infection
38496355 | @DISEASE_Hepatitis_C | Hepatitis C | 207 | 33 | Disease | disease | hepatitis C virus (HCV) infection
38496355 | @DISEASE_Hepatitis_C | Hepatitis C | 315 | 12 | Disease | disease | HCV-infected
38496355 | @DISEASE_Hepatitis_C | Hepatitis C | 417 | 12 | Disease | disease | HCV-infected
38496355 | @GENE_CD4 | CD4 | 550 | 3 | Gene | gene | CD4
38496355 | @GENE_IFNG | IFNG | 555 | 9 | Gene | gene | IFN-gamma
38496355 | @GENE_IL17A | IL17A | 566 | 5 | Gene | gene | IL-17
38496355 | @GENE_IL22 | IL22 | 577 | 5 | Gene | gene | IL-22
38496355 | @GENE_IL22 | IL22 | 673 | 5 | Gene | gene | IL-22
38496355 | @GENE_CD4 | CD4 | 682 | 3 | Gene | gene | CD4
38496355 | @DISEASE_Hepatitis_C | Hepatitis C | 722 | 12 | Disease | disease | HCV-infected
38496355 | @GENE_CD4 | CD4 | 876 | 3 | Gene | gene | CD4
38496355 | @GENE_IFNG | IFNG | 881 | 9 | Gene | gene | IFN-gamma
38496355 | @CHEMICAL_Thyroxine | Thyroxine | 902 | 9 | Chemical | chemical | Thyroxine
38496355 | @CHEMICAL_Cholesterol | Cholesterol | 1028 | 11 | Chemical | chemical | cholesterol
38496355 | @CHEMICAL_Creatinine | Creatinine | 1140 | 10 | Chemical | chemical | creatinine
38496355 | @GENE_IL17A | IL17A | 1262 | 5 | Gene | gene | IL-17
38496355 | @GENE_IL22 | IL22 | 1269 | 5 | Gene | gene | IL-22
1510436 | @CHEMICAL_biapenem | biapenem | 87 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_Carbapenems | Carbapenems | 105 | 10 | Chemical | chemical | carbapenem
1510436 | @CHEMICAL_Imipenem | Imipenem | 144 | 8 | Chemical | chemical | imipenem
1510436 | @CHEMICAL_Cefotaxime | Cefotaxime | 154 | 10 | Chemical | chemical | cefotaxime
1510436 | @CHEMICAL_Ceftazidime | Ceftazidime | 166 | 11 | Chemical | chemical | ceftazidime
1510436 | @CHEMICAL_Gentamicins | Gentamicins | 183 | 10 | Chemical | chemical | gentamicin
1510436 | @CHEMICAL_biapenem | biapenem | 195 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_biapenem | biapenem | 715 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_Imipenem | Imipenem | 755 | 8 | Chemical | chemical | imipenem
1510436 | @CHEMICAL_Ceftazidime | Ceftazidime | 818 | 11 | Chemical | chemical | ceftazidime
1510436 | @CHEMICAL_Cefotaxime | Cefotaxime | 832 | 10 | Chemical | chemical | cefotaxime
1510436 | @CHEMICAL_Gentamicins | Gentamicins | 849 | 10 | Chemical | chemical | gentamicin
1510436 | @CHEMICAL_Imipenem | Imipenem | 1046 | 8 | Chemical | chemical | Imipenem
1510436 | @CHEMICAL_biapenem | biapenem | 1093 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_biapenem | biapenem | 1166 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_Methicillin | Methicillin | 1198 | 11 | Chemical | chemical | methicillin
1510436 | @CHEMICAL_Methicillin | Methicillin | 1245 | 11 | Chemical | chemical | methicillin
1510436 | @CHEMICAL_biapenem | biapenem | 1303 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_biapenem | biapenem | 1504 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_biapenem | biapenem | 1560 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_biapenem | biapenem | 1899 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_biapenem | biapenem | 2070 | 10 | Chemical | chemical | LJC 10,627
1510436 | @CHEMICAL_Imipenem | Imipenem | 2130 | 8 | Chemical | chemical | imipenem
1873972 | @CHEMICAL_L_656575 | L 656575 | 34 | 9 | Chemical | chemical | OCP 9-176
1873972 | @CHEMICAL_Sulfur | Sulfur | 62 | 6 | Chemical | chemical | sulfur
1873972 | @CHEMICAL_beta_Lactams | beta-Lactams | 86 | 12 | Chemical | chemical | beta-lactams
1873972 | @CHEMICAL_L_656575 | L 656575 | 100 | 9 | Chemical | chemical | OCP 9-176
1873972 | @CHEMICAL_L_656575 | L 656575 | 245 | 9 | Chemical | chemical | OCP 9-176
1873972 | @CHEMICAL_Sulfur | Sulfur | 298 | 6 | Chemical | chemical | sulfur
1873972 | @CHEMICAL_ME_1228 | ME 1228 | 323 | 7 | Chemical | chemical | ME 1228
1873972 | @CHEMICAL_L_656575 | L 656575 | 544 | 9 | Chemical | chemical | OCP 9-176
1873972 | @CHEMICAL_ME_1228 | ME 1228 | 583 | 7 | Chemical | chemical | ME-1228
1873972 | @CHEMICAL_L_656575 | L 656575 | 759 | 9 | Chemical | chemical | OCP 9-176
1873972 | @GENE_TEM_1 | TEM-1 | 798 | 5 | Gene | gene | TEM-1
1873972 | @CHEMICAL_ME_1228 | ME 1228 | 839 | 7 | Chemical | chemical | ME-1228
1873972 | @CHEMICAL_L_656575 | L 656575 | 980 | 9 | Chemical | chemical | OCP 9-176
1873972 | @GENE_TEM1 | tem1 | 1018 | 5 | Gene | gene | TEM-1
1873972 | @CHEMICAL_Sulfur | Sulfur | 1097 | 6 | Chemical | chemical | sulfur
1873972 | @CHEMICAL_Oxygen | Oxygen | 1109 | 6 | Chemical | chemical | oxygen
2279381 | @CHEMICAL_HRE_664 | HRE 664 | 21 | 7 | Chemical | chemical | HRE 664
2279381 | @CHEMICAL_HRE_664 | HRE 664 | 50 | 7 | Chemical | chemical | HRE 664
2279381 | @CHEMICAL_Cefotaxime | Cefotaxime | 329 | 10 | Chemical | chemical | cefotaxime
2279381 | @CHEMICAL_Ceftazidime | Ceftazidime | 341 | 11 | Chemical | chemical | ceftazidime
2279381 | @CHEMICAL_Imipenem | Imipenem | 358 | 8 | Chemical | chemical | imipenem
2279381 | @CHEMICAL_HRE_664 | HRE 664 | 448 | 7 | Chemical | chemical | HRE 664
2279381 | @CHEMICAL_Imipenem | Imipenem | 587 | 8 | Chemical | chemical | imipenem
2279381 | @CHEMICAL_HRE_664 | HRE 664 | 597 | 7 | Chemical | chemical | HRE 664
2279381 | @CHEMICAL_Methicillin | Methicillin | 615 | 11 | Chemical | chemical | methicillin
2279381 | @CHEMICAL_Methicillin | Methicillin | 741 | 11 | Chemical | chemical | methicillin
2279381 | @CHEMICAL_Imipenem | Imipenem | 993 | 8 | Chemical | chemical | imipenem
2279381 | @CHEMICAL_HRE_664 | HRE 664 | 1003 | 7 | Chemical | chemical | HRE 664
2789493 | @CHEMICAL_Carbapenems | Carbapenems | 56 | 10 | Chemical | chemical | carbapenem
2789493 | @CHEMICAL_Meropenem | Meropenem | 68 | 7 | Chemical | chemical | SM-7338
2789493 | @CHEMICAL_Meropenem | Meropenem | 77 | 7 | Chemical | chemical | SM-7338
2789493 | @CHEMICAL_Carbapenems | Carbapenems | 92 | 10 | Chemical | chemical | carbapenem
2789493 | @CHEMICAL_Cefotaxime | Cefotaxime | 316 | 10 | Chemical | chemical | cefotaxime
2789493 | @CHEMICAL_Ceftazidime | Ceftazidime | 328 | 11 | Chemical | chemical | ceftazidime
2789493 | @CHEMICAL_Piperacillin | Piperacillin | 341 | 12 | Chemical | chemical | piperacillin
2789493 | @CHEMICAL_Gentamicins | Gentamicins | 359 | 10 | Chemical | chemical | gentamicin
2789493 | @CHEMICAL_Imipenem | Imipenem | 413 | 8 | Chemical | chemical | imipenem
2789493 | @CHEMICAL_Imipenem | Imipenem | 528 | 8 | Chemical | chemical | imipenem
2789493 | @CHEMICAL_Imipenem | Imipenem | 683 | 8 | Chemical | chemical | imipenem
2789493 | @CHEMICAL_Meropenem | Meropenem | 693 | 7 | Chemical | chemical | SM-7338
2789493 | @DISEASE_Triple_Negative_Breast_Neoplasms | Triple Negative Breast Neoplasms | 737 | 32 | Disease | disease | coagulase-negative staphylococci
