36232721 | @DISEASE_Liver_Failure | Liver Failure | 9 | 21 | Disease | disease | and Liver Homeostasis
8313517 | @CHEMICAL_Ethanol | Ethanol | 1476 | 7 | Chemical | chemical | ethanol
8313517 | @CHEMICAL_Alcohols | Alcohols | 1527 | 7 | Chemical | chemical | alcohol
8313517 | @CHEMICAL_Nitrosamines | Nitrosamines | 1570 | 11 | Chemical | chemical | nitrosamine
8313517 | @CHEMICAL_Ethanol | Ethanol | 1591 | 7 | Chemical | chemical | ethanol
8313517 | @CHEMICAL_Acetone | Acetone | 1603 | 7 | Chemical | chemical | acetone
8313517 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 1648 | 3 | Chemical | chemical | NNK
8313517 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1741 | 3 | Chemical | chemical | NNN
8313517 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 1746 | 3 | Chemical | chemical | NNK
8313517 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1754 | 4 | Chemical | chemical | NPYR
8313517 | @CHEMICAL_Nitrosamines | Nitrosamines | 1872 | 12 | Chemical | chemical | nitrosamines
8313517 | @CHEMICAL_Nitrosamines | Nitrosamines | 1926 | 12 | Chemical | chemical | nitrosamines
8313517 | @CHEMICAL_Ethanol | Ethanol | 1999 | 7 | Chemical | chemical | ethanol
8313517 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 2058 | 3 | Chemical | chemical | NNN
8313517 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 2066 | 4 | Chemical | chemical | NPYR
8313517 | @CHEMICAL_Ethanol | Ethanol | 2269 | 7 | Chemical | chemical | ethanol
8313517 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 2309 | 3 | Chemical | chemical | NNK
8641440 | @GENE_NPY4R | Npy4r | 162 | 6 | Gene | gene | NPYR-D
8641440 | @GENE_CXCR6 | CXCR6 | 205 | 26 | Gene | gene | G protein-coupled receptor
8641440 | @GENE_NPY4R | Npy4r | 274 | 6 | Gene | gene | NPYR-D
8641440 | @GENE_NPY4R | Npy4r | 309 | 3 | Gene | gene | PP1
8641440 | @GENE_NPY4R | NPY4R | 323 | 16 | Gene | gene | Y4/PP1 receptors
8641440 | @GENE_NPY4R | Npy4r | 406 | 6 | Gene | gene | NPYR-D
8641440 | @GENE_NPY4R | Npy4r | 523 | 6 | Gene | gene | NPYR-D
8641440 | @CHEMICAL_Phosphorus | Phosphorus | 690 | 1 | Chemical | chemical | P
8641440 | @GENE_PYY | PYY | 695 | 3 | Gene | gene | PYY
8641440 | @GENE_NPY | NPY | 706 | 3 | Gene | gene | NPY
8641440 | @GENE_PYY | PYY | 721 | 3 | Gene | gene | PYY
8641440 | @GENE_NPY | NPY | 729 | 3 | Gene | gene | NPY
8641440 | @GENE_PYY | PYY | 841 | 3 | Gene | gene | PYY
8641440 | @GENE_NPY | NPY | 849 | 3 | Gene | gene | NPY
8688157 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 253 | 21 | Chemical | chemical | N'-nitrosonornicotine
8688157 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 276 | 3 | Chemical | chemical | NNN
8688157 | @CHEMICAL_N'_nitrosoanabasine | N'-nitrosoanabasine | 282 | 19 | Chemical | chemical | N'-nitrosoanabasine
8688157 | @CHEMICAL_N'_nitrosoanabasine | N'-nitrosoanabasine | 303 | 3 | Chemical | chemical | NAB
8688157 | @CHEMICAL_N'_nitrosoanatabine | N'-nitrosoanatabine | 309 | 19 | Chemical | chemical | N'-nitrosoanatabine
8688157 | @CHEMICAL_N'_nitrosoanatabine | N'-nitrosoanatabine | 330 | 3 | Chemical | chemical | NAT
8688157 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 336 | 46 | Chemical | chemical | 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone
8688157 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 384 | 3 | Chemical | chemical | NNK
8688157 | @CHEMICAL_4_(methylnitrosamino)_1_(3_pyridyl)_1_butan_1_ol | 4-(methylnitrosamino)-1-(3-pyridyl)-1-butan-1-ol | 390 | 45 | Chemical | chemical | 4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol
8688157 | @CHEMICAL_4_(methylnitrosamino)_1_(3_pyridyl)_1_butan_1_ol | 4-(methylnitrosamino)-1-(3-pyridyl)-1-butan-1-ol | 437 | 4 | Chemical | chemical | NNAL
8688157 | @CHEMICAL_4_(methylnitrosoamino)_4_(3_pyridyl)_1_butanol | 4-(methylnitrosoamino)-4-(3-pyridyl)-1-butanol | 491 | 8 | Chemical | chemical | iso-NNAL
8688157 | @CHEMICAL_4_(methylnitrosamino)_4_(3_pyridyl)butyric_acid | 4-(methylnitrosamino)-4-(3-pyridyl)butyric acid | 506 | 46 | Chemical | chemical | 4-(methylnitrosamino)-4-3-pyridyl)butyric acid
8688157 | @CHEMICAL_4_(methylnitrosamino)_4_(3_pyridyl)butyric_acid | 4-(methylnitrosamino)-4-(3-pyridyl)butyric acid | 554 | 8 | Chemical | chemical | iso-NNAC
8688157 | @CHEMICAL_Carbon_14 | Carbon-14 | 629 | 3 | Chemical | chemical | 14C
8688157 | @CHEMICAL_Tritium | Tritium | 638 | 2 | Chemical | chemical | 3H
8688157 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 649 | 3 | Chemical | chemical | NNK
8688157 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 679 | 3 | Chemical | chemical | NNK
8688157 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 687 | 3 | Chemical | chemical | NNN
8688157 | @DISEASE_Carcinogenesis | Carcinogenesis | 734 | 18 | Disease | disease | lung tumorigenesis
8688157 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 840 | 22 | Chemical | chemical | N-nitrosodimethylamine
8688157 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 864 | 4 | Chemical | chemical | NDMA
8688157 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 874 | 20 | Chemical | chemical | N-nitrosopyrrolidine
8688157 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 896 | 4 | Chemical | chemical | NPYR
8688157 | @CHEMICAL_Dimethylnitrosamine | Dimethylnitrosamine | 950 | 4 | Chemical | chemical | NDMA
8688157 | @CHEMICAL_4_(N_methyl_N_nitrosamino)_1_(3_pyridyl)_1_butanone | 4-(N-methyl-N-nitrosamino)-1-(3-pyridyl)-1-butanone | 957 | 3 | Chemical | chemical | NNK
8688157 | @CHEMICAL_4_(methylnitrosamino)_1_(3_pyridyl)_1_butan_1_ol | 4-(methylnitrosamino)-1-(3-pyridyl)-1-butan-1-ol | 963 | 4 | Chemical | chemical | NNAL
8688157 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 977 | 3 | Chemical | chemical | NNN
8688157 | @CHEMICAL_N'_nitrosoanabasine | N'-nitrosoanabasine | 983 | 3 | Chemical | chemical | NAB
8688157 | @CHEMICAL_4_(methylnitrosoamino)_4_(3_pyridyl)_1_butanol | 4-(methylnitrosoamino)-4-(3-pyridyl)-1-butanol | 988 | 8 | Chemical | chemical | Iso-NNAL
8688157 | @CHEMICAL_4_(methylnitrosamino)_4_(3_pyridyl)butyric_acid | 4-(methylnitrosamino)-4-(3-pyridyl)butyric acid | 1001 | 8 | Chemical | chemical | iso-NNAC
8688157 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 1086 | 15 | Disease | disease | carcinogenicity
15651850 | @CHEMICAL_Nitrosamines | Nitrosamines | 87 | 12 | Chemical | chemical | nitrosamines
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 101 | 21 | Chemical | chemical | N'-nitrosonornicotine
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 136 | 19 | Chemical | chemical | N-nitrosopiperidine
15651850 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 161 | 20 | Chemical | chemical | N-nitrosopyrrolidine
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 183 | 21 | Chemical | chemical | N'-Nitrosonornicotine
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 206 | 3 | Chemical | chemical | NNN
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 215 | 19 | Chemical | chemical | N-nitrosopiperidine
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 236 | 4 | Chemical | chemical | NPIP
15651850 | @DISEASE_Lung_Diseases | Lung Diseases | 305 | 21 | Disease | disease | pulmonary carcinogens
15651850 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 336 | 20 | Chemical | chemical | N-Nitrosopyrrolidine
15651850 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 358 | 4 | Chemical | chemical | NPYR
15651850 | @DISEASE_Liver_Neoplasms | Liver Neoplasms | 379 | 12 | Disease | disease | liver tumors
15651850 | @CHEMICAL_Nitrosamines | Nitrosamines | 450 | 12 | Chemical | chemical | nitrosamines
15651850 | @DISEASE_Neoplasms | Neoplasms | 496 | 6 | Disease | disease | cancer
15651850 | @DISEASE_Carcinogenesis | Carcinogenesis | 578 | 14 | Disease | disease | carcinogenesis
15651850 | @CHEMICAL_Nitrosamines | Nitrosamines | 628 | 11 | Chemical | chemical | nitrosamine
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 885 | 7 | Chemical | chemical | (S)-NNN
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 894 | 4 | Chemical | chemical | NPIP
15651850 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 904 | 4 | Chemical | chemical | NPYR
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1042 | 3 | Chemical | chemical | NNN
15651850 | @CHEMICAL_Carbon | Carbon | 1094 | 6 | Chemical | chemical | carbon
15651850 | @CHEMICAL_Arginine | Arginine | 1141 | 4 | Chemical | chemical | (R)-
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1149 | 7 | Chemical | chemical | (S)-NNN
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1296 | 7 | Chemical | chemical | (S)-NNN
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1448 | 3 | Chemical | chemical | NNN
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1597 | 7 | Chemical | chemical | (S)-NNN
15651850 | @CHEMICAL_Arginine | Arginine | 1637 | 4 | Chemical | chemical | (R)-
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 1646 | 7 | Chemical | chemical | (S)-NNN
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1730 | 4 | Chemical | chemical | NPIP
15651850 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1851 | 4 | Chemical | chemical | NPYR
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 1949 | 4 | Chemical | chemical | NPIP
15651850 | @CHEMICAL_N'_nitrosonornicotine | N'-nitrosonornicotine | 2143 | 3 | Chemical | chemical | NNN
15651850 | @CHEMICAL_N_nitrosopiperidine | N-nitrosopiperidine | 2148 | 4 | Chemical | chemical | NPIP
21468772 | @GENE_NPY | NPY | 17 | 14 | Gene | gene | neuropeptide Y
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 70 | 22 | Disease | disease | atherosclerotic lesion
21468772 | @GENE_NPY | NPY | 119 | 14 | Gene | gene | Neuropeptide Y
21468772 | @GENE_NPY | NPY | 135 | 3 | Gene | gene | NPY
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 239 | 15 | Disease | disease | atherosclerosis
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 347 | 15 | Disease | disease | atherosclerosis
21468772 | @GENE_NPY | NPY | 404 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 433 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 455 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY1R | Npy1r | 559 | 3 | Gene | gene | Y1R
21468772 | @GENE_DPP4 | DPP4 | 592 | 4 | Gene | gene | CD26
21468772 | @GENE_DPP4 | DPP4 | 597 | 5 | Gene | gene | DPPIV
21468772 | @GENE_PECAM1 | PECAM1 | 649 | 4 | Gene | gene | CD31
21468772 | @DISEASE_Peripheral_Arterial_Disease | Peripheral Arterial Disease | 759 | 25 | Disease | disease | peripheral artery disease
21468772 | @DISEASE_Peripheral_Arterial_Disease | Peripheral Arterial Disease | 786 | 3 | Disease | disease | PAD
21468772 | @GENE_NPY | NPY | 845 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY1R | NPY1R | 853 | 5 | Gene | gene | NPY-R
21468772 | @DISEASE_Peripheral_Arterial_Disease | Peripheral Arterial Disease | 902 | 3 | Disease | disease | PAD
21468772 | @GENE_DPP4 | DPP4 | 1075 | 4 | Gene | gene | CD26
21468772 | @GENE_DPP4 | DPP4 | 1080 | 5 | Gene | gene | DPPIV
21468772 | @GENE_PECAM1 | PECAM1 | 1113 | 4 | Gene | gene | CD31
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 1153 | 23 | Disease | disease | atherosclerotic lesions
21468772 | @GENE_NPY | NPY | 1178 | 3 | Gene | gene | NPY
21468772 | @DISEASE_Peripheral_Arterial_Disease | Peripheral Arterial Disease | 1307 | 3 | Disease | disease | PAD
21468772 | @GENE_NPY | Npy | 1396 | 3 | Gene | gene | NPY
21468772 | @DISEASE_Necrosis | Necrosis | 1450 | 8 | Disease | disease | necrotic
21468772 | @DISEASE_Necrosis | Necrosis | 1478 | 8 | Disease | disease | necrotic
21468772 | @DISEASE_Neovascularization_Pathologic | Neovascularization Pathologic | 1571 | 23 | Disease | disease | neovascularized lesions
21468772 | @GENE_NPY | Npy | 1610 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 1675 | 3 | Gene | gene | NPY
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 1727 | 23 | Disease | disease | atherosclerotic lesions
21468772 | @GENE_DPP4 | Dpp4 | 1779 | 5 | Gene | gene | DPPIV
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 1828 | 15 | Disease | disease | atherosclerotic
21468772 | @GENE_NPY | NPY | 1861 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 2027 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 2092 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 2256 | 3 | Gene | gene | NPY
21468772 | @GENE_NPY | NPY | 2305 | 3 | Gene | gene | NPY
21468772 | @DISEASE_Atherosclerosis | Atherosclerosis | 2325 | 22 | Disease | disease | atherosclerotic lesion
21468772 | @GENE_NPY | NPY | 2443 | 3 | Gene | gene | NPY
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 19 | 20 | Chemical | chemical | n-nitrosopyrrolidine
22059948 | @CHEMICAL_Ascorbic_Acid | Ascorbic Acid | 71 | 13 | Chemical | chemical | ascorbic acid
22059948 | @CHEMICAL_Vitamin_E | Vitamin E | 89 | 9 | Chemical | chemical | vitamin E
22059948 | @DISEASE_Neoplasms | Neoplasms | 102 | 5 | Disease | disease | tumor
22059948 | @CHEMICAL_Ascorbic_Acid | Ascorbic Acid | 287 | 13 | Chemical | chemical | ascorbic acid
22059948 | @CHEMICAL_Vitamin_E | Vitamin E | 307 | 9 | Chemical | chemical | vitamin E
22059948 | @CHEMICAL_Vitamin_E | Vitamin E | 318 | 5 | Chemical | chemical | Vit E
22059948 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 372 | 12 | Disease | disease | carcinogenic
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 396 | 20 | Chemical | chemical | N-nitrosopyrrolidine
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 418 | 4 | Chemical | chemical | NPyr
22059948 | @CHEMICAL_pyrrolidine | pyrrolidine | 474 | 11 | Chemical | chemical | pyrrolidine
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 486 | 3 | Chemical | chemical | Pyr
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 513 | 4 | Chemical | chemical | NPyr
22059948 | @CHEMICAL_Vitamin_E | Vitamin E | 574 | 5 | Chemical | chemical | Vit E
22059948 | @DISEASE_Precancerous_Conditions | Precancerous Conditions | 594 | 12 | Disease | disease | carcinogenic
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 618 | 4 | Chemical | chemical | NPyr
22059948 | @CHEMICAL_Nitrogen_Dioxide | Nitrogen Dioxide | 654 | 5 | Chemical | chemical | NO(2)
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 664 | 3 | Chemical | chemical | Pyr
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 738 | 4 | Chemical | chemical | NPyr
22059948 | @DISEASE_Neoplasms | Neoplasms | 767 | 16 | Disease | disease | malignant tumors
22059948 | @DISEASE_Neoplasms | Neoplasms | 847 | 6 | Disease | disease | tumors
22059948 | @CHEMICAL_Nitrogen_Dioxide | Nitrogen Dioxide | 925 | 5 | Chemical | chemical | NO(2)
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 935 | 3 | Chemical | chemical | Pyr
22059948 | @DISEASE_Neoplasms | Neoplasms | 988 | 16 | Disease | disease | malignant tumors
22059948 | @CHEMICAL_Nitrogen_Dioxide | Nitrogen Dioxide | 1095 | 5 | Chemical | chemical | NO(2)
22059948 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 1105 | 3 | Chemical | chemical | Pyr
22059948 | @DISEASE_Neoplasms | Neoplasms | 1156 | 6 | Disease | disease | cancer
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 31 | 17 | Disease | disease | pancreatic cancer
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 88 | 17 | Disease | disease | pancreatic-cancer
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 165 | 17 | Disease | disease | pancreatic cancer
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 184 | 2 | Disease | disease | PC
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 189 | 17 | Disease | disease | Pancreatic cancer
22963768 | @DISEASE_Neoplasms | Neoplasms | 534 | 5 | Disease | disease | tumor
22963768 | @GENE_MS4A1 | Ms4a1 | 552 | 4 | Gene | gene | CD20
22963768 | @GENE_CD24A | Cd24a | 558 | 4 | Gene | gene | CD24
22963768 | @GENE_CD44 | Cd44 | 564 | 4 | Gene | gene | CD44
22963768 | @GENE_PROM1 | Prom1 | 570 | 5 | Gene | gene | CD133
22963768 | @GENE_CXCR4 | Cxcr4 | 577 | 5 | Gene | gene | CD184
22963768 | @GENE_CXCR4 | Cxcr4 | 584 | 5 | Gene | gene | CXCR4
22963768 | @GENE_EPCAM | Epcam | 592 | 5 | Gene | gene | CD326
22963768 | @GENE_EPCAM | Epcam | 599 | 5 | Gene | gene | EpCam
22963768 | @GENE_FLOT2 | Flot2 | 606 | 3 | Gene | gene | ESA
22963768 | @GENE_SOX2 | Sox2 | 612 | 5 | Gene | gene | Sox-2
22963768 | @GENE_POU5F1 | Pou5f1 | 619 | 7 | Gene | gene | OCT 3/4
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 677 | 2 | Disease | disease | PC
22963768 | @DISEASE_Hypoxia | Hypoxia | 723 | 7 | Disease | disease | hypoxia
22963768 | @CHEMICAL_Gemcitabine | Gemcitabine | 747 | 11 | Chemical | chemical | gemcitabine
22963768 | @DISEASE_Neoplasms | Neoplasms | 881 | 5 | Disease | disease | tumor
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 955 | 2 | Disease | disease | PC
22963768 | @DISEASE_Hypoxia | Hypoxia | 1164 | 7 | Disease | disease | hypoxia
22963768 | @CHEMICAL_Gemcitabine | Gemcitabine | 1188 | 11 | Chemical | chemical | gemcitabine
22963768 | @GENE_CD44 | Cd44 | 1281 | 4 | Gene | gene | CD44
22963768 | @GENE_CD24A | Cd24a | 1286 | 4 | Gene | gene | CD24
22963768 | @GENE_EPCAM | Epcam | 1291 | 5 | Gene | gene | CD326
22963768 | @DISEASE_Neoplasms | Neoplasms | 1341 | 5 | Disease | disease | Tumor
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 1587 | 2 | Disease | disease | PC
22963768 | @GENE_CD44 | Cd44 | 1685 | 4 | Gene | gene | CD44
22963768 | @GENE_CD24A | Cd24a | 1690 | 4 | Gene | gene | CD24
22963768 | @GENE_EPCAM | Epcam | 1695 | 5 | Gene | gene | CD326
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 1737 | 23 | Disease | disease | pancreatic cancer tumor
22963768 | @DISEASE_Pancreatic_Neoplasms | Pancreatic Neoplasms | 1839 | 2 | Disease | disease | PC
24403451 | @DISEASE_Neoplasms | Neoplasms | 31 | 6 | Disease | disease | cancer
24403451 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 70 | 24 | Disease | disease | adrenocortical carcinoma
24403451 | @DISEASE_Neoplasms | Neoplasms | 177 | 6 | Disease | disease | cancer
24403451 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 217 | 26 | Disease | disease | adrenal cortical carcinoma
24403451 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 245 | 3 | Disease | disease | ACC
24403451 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 303 | 3 | Disease | disease | ACC
24403451 | @CHEMICAL_Cyclophosphamide | Cyclophosphamide | 372 | 16 | Chemical | chemical | cyclophosphamide
24403451 | @DISEASE_Neoplasms | Neoplasms | 451 | 5 | Disease | disease | tumor
24403451 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 495 | 3 | Disease | disease | ACC
24403451 | @DISEASE_Neoplasms | Neoplasms | 568 | 5 | Disease | disease | tumor
24403451 | @DISEASE_Neoplasms | Neoplasms | 823 | 5 | Disease | disease | tumor
24403451 | @CHEMICAL_Cyclophosphamide | Cyclophosphamide | 858 | 16 | Chemical | chemical | cyclophosphamide
24403451 | @DISEASE_Neoplasms | Neoplasms | 904 | 5 | Disease | disease | tumor
24403451 | @GENE_CXCR4 | CXCR4 | 973 | 31 | Gene | gene | C-X-C chemokine receptor type-4
24403451 | @GENE_CXCR4 | CXCR4 | 1006 | 5 | Gene | gene | CXCR4
24403451 | @GENE_CXCR4 | CXCR4 | 1013 | 5 | Gene | gene | CD184
24403451 | @GENE_ABCG2 | ABCG2 | 1024 | 42 | Gene | gene | ATP-binding cassette sub-family G member-2
24403451 | @GENE_ABCG2 | ABCG2 | 1068 | 5 | Gene | gene | ABCG2
24403451 | @GENE_ABCG2 | ABCG2 | 1075 | 6 | Gene | gene | CDw338
24403451 | @GENE_CXCR4 | CXCR4 | 1118 | 5 | Gene | gene | CXCR4
24403451 | @GENE_ABCG2 | ABCG2 | 1128 | 5 | Gene | gene | ABCG2
24403451 | @CHEMICAL_Cyclophosphamide | Cyclophosphamide | 1137 | 16 | Chemical | chemical | cyclophosphamide
24403451 | @DISEASE_Neoplasms | Neoplasms | 1172 | 5 | Disease | disease | tumor
24403451 | @DISEASE_Neoplasms | Neoplasms | 1206 | 5 | Disease | disease | tumor
24403451 | @CHEMICAL_Cyclophosphamide | Cyclophosphamide | 1257 | 16 | Chemical | chemical | cyclophosphamide
24403451 | @DISEASE_Neoplasms | Neoplasms | 1287 | 5 | Disease | disease | tumor
24403451 | @CHEMICAL_Cyclophosphamide | Cyclophosphamide | 1434 | 16 | Chemical | chemical | cyclophosphamide
24403451 | @DISEASE_Neoplasms | Neoplasms | 1469 | 6 | Disease | disease | cancer
24403451 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 1490 | 8 | Disease | disease | toxicity
24403451 | @DISEASE_Adrenocortical_Carcinoma | Adrenocortical Carcinoma | 1589 | 3 | Disease | disease | ACC
24628854 | @DISEASE_Uterine_Cervicitis | Uterine Cervicitis | 106 | 8 | Disease | disease | cervical
24628854 | @GENE_ID1 | ID1 | 214 | 4 | Gene | gene | Id-1
24628854 | @DISEASE_Uterine_Cervical_Neoplasms | Uterine Cervical Neoplasms | 224 | 15 | Disease | disease | cervical cancer
24628854 | @GENE_ID1 | ID1 | 266 | 4 | Gene | gene | Id-1
24628854 | @DISEASE_Carcinogenesis | Carcinogenesis | 286 | 23 | Disease | disease | cervical carcinogenesis
24628854 | @GENE_ID1 | ID1 | 412 | 4 | Gene | gene | Id-1
24628854 | @DISEASE_Uterine_Cervicitis | Uterine Cervicitis | 442 | 8 | Disease | disease | cervical
24628854 | @DISEASE_Uterine_Cervicitis | Uterine Cervicitis | 498 | 8 | Disease | disease | cervical
24628854 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 589 | 20 | Chemical | chemical | N-nitrosopyrrolidine
24628854 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 611 | 4 | Chemical | chemical | NPYR
24628854 | @GENE_ID1 | ID1 | 641 | 4 | Gene | gene | Id-1
24628854 | @GENE_ID1 | ID1 | 745 | 4 | Gene | gene | Id-1
24628854 | @DISEASE_Uterine_Cervicitis | Uterine Cervicitis | 753 | 8 | Disease | disease | cervical
24628854 | @GENE_ID1 | ID1 | 805 | 4 | Gene | gene | Id-1
24628854 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 834 | 4 | Chemical | chemical | NPYR
24628854 | @GENE_ID1 | ID1 | 894 | 4 | Gene | gene | Id-1
24628854 | @CHEMICAL_N_Nitrosopyrrolidine | N-Nitrosopyrrolidine | 910 | 4 | Chemical | chemical | NPYR
24628854 | @DISEASE_Neoplasms | Neoplasms | 1039 | 5 | Disease | disease | tumor
24628854 | @GENE_TP53 | TP53 | 1057 | 3 | Gene | gene | p53
24628854 | @GENE_RB1 | RB1 | 1065 | 3 | Gene | gene | pRb
