37537117 | Positive_Correlation | Sevoflurane | p.S262S
38533538 | Positive_Correlation | Cxcr4 | Tmem173
38533538 | Cotreatment | Doxorubicin | Manganese
38553476 | Association | Neoplasms | CXCR4
38553476 | Association | Breast Neoplasms | CXCR4
38581990 | Bind | CXCL12 | CXCR4
38581990 | Association | Neoplasms | CXCL12
38581990 | Association | Neoplasms | CD274
38581990 | Association | Neoplasms | AKT1
38581990 | Association | Neoplasm Metastasis | CXCL12
38581990 | Association | Pancreatitis | CXCR4
38581990 | Association | Pancreatitis | CD274
38581990 | Association | Neoplasms | PIK3CD
38581990 | Association | Pancreatitis | CXCL12
38581990 | Association | Carcinoma Pancreatic Ductal | CXCL12
38581990 | Association | Carcinoma Pancreatic Ductal | CXCR4
38581990 | Association | Pancreatic Neoplasms | CXCR4
38581990 | Association | AKT1 | PIK3CD
38581990 | Association | Neoplasms | CXCR4
38598844 | Association | Reactive Oxygen Species | Pancreatic Neoplasms
38598844 | Association | Neoplasm Metastasis | CYBB
38598844 | Association | Anophthalmia with pulmonary hypoplasia | CYBB
38598844 | Association | Pancreatic Neoplasms | CYBB
38598844 | Association | Reactive Oxygen Species | CYBB
38598844 | Association | Inflammation | CYBB
38614386 | Association | AKT1 | PIK3CD
38614386 | Association | AKT1 | CXCR4
38614386 | Association | Neoplasm Metastasis | AKT1
38614386 | Association | Neoplasm Metastasis | PIK3CD
38614386 | Association | Neoplasm Metastasis | CXCR4
9346884 | Positive_Correlation | Calcium | CXCL12
9346884 | Positive_Correlation | CXCL12 | CXCR4
9616148 | Association | Cd34 | Cxcl12
9616148 | Association | Leukemia | CXCR4
9616148 | Positive_Correlation | CXCL12 | CXCR4
9616148 | Association | CXCR4 | CD34
9616148 | Association | Leukemia Myeloid Acute | CXCR4
9616148 | Bind | Cxcr4 | CXCL12
9616148 | Association | Leukemia Myeloid Acute | CD34
11739738 | Association | NXF1 | NXT1
11739738 | Bind | NXF1 | AGFG2
11739738 | Association | Poly A | NXT1
11739738 | Bind | NXT1 | AGFG2
32454255 | Positive_Correlation | Zearalenone | CXCR4
32454255 | Negative_Correlation | Zearalenone | HIF1A
32454255 | Association | Zearalenone | Endocrine System Diseases
32454255 | Positive_Correlation | Zearalenone | Carcinogenesis
32454255 | Negative_Correlation | Zearalenone | CDX2
32454255 | Association | Zearalenone | MAPK1
32454255 | Positive_Correlation | Zearalenone | CXCL12
32454255 | Positive_Correlation | Zearalenone | ESR1
32454255 | Positive_Correlation | Zearalenone | Immune System Diseases
32454255 | Association | Zearalenone | MAPK3
32454255 | Positive_Correlation | Zearalenone | Neoplasms
32454255 | Positive_Correlation | Zearalenone | Polyradiculoneuropathy Chronic Inflammatory Demyelinating
34535679 | Association | Triple Negative Breast Neoplasms | EGFR
34535679 | Association | Neoplasms | SOX2
35016591 | Association | Dimethyl Fumarate | ST Elevation Myocardial Infarction
35016591 | Negative_Correlation | Dimethyl Fumarate | Cardiovascular Diseases
35016591 | Association | ST Elevation Myocardial Infarction | CD86
35016591 | Association | ST Elevation Myocardial Infarction | CXCR4
35016591 | Negative_Correlation | Dimethyl Fumarate | CCR7
35016591 | Negative_Correlation | Dimethyl Fumarate | CXCR4
35016591 | Negative_Correlation | Dimethyl Fumarate | CD86
35016591 | Negative_Correlation | Dimethyl Fumarate | Coronary Disease
36579657 | Negative_Correlation | Isoproterenol | Cxcl12
36579657 | Association | Isoproterenol | Cxcr4
36579657 | Positive_Correlation | Akt1 | Cxcl12
36579657 | Negative_Correlation | Isoproterenol | Akt1
36579657 | Association | Heart Diseases | Glul
36579657 | Association | Fibrosis | Cxcr4
36579657 | Negative_Correlation | Cxcr4 | Glul
36579657 | Association | Heart Diseases | Cxcr4
36579657 | Positive_Correlation | Isoproterenol | Heart Failure
36579657 | Association | Heart Failure | Cxcr4
36579657 | Association | Cxcr4 | Cxcl12
36579657 | Association | Akt1 | Cxcr4
36579657 | Positive_Correlation | Isoproterenol | Fibrosis
36709495 | Association | Esophageal Squamous Cell Carcinoma | APOC1
36709495 | Association | Esophageal Squamous Cell Carcinoma | APOE
36709495 | Association | Neoplasms | APOE
36709495 | Association | Neoplasms | APOC1
36813133 | Association | Cxcr4 | Itgax
36813133 | Association | Keratitis Herpetic | Cxcl12
36813133 | Association | Herpes Simplex | Cxcr4
36813133 | Association | Cxcr4 | Cd207
36813133 | Association | Keratitis Herpetic | Cxcr4
37619860 | Association | Ifng | Il10
37619860 | Association | Ifng | Il2
37619860 | Association | Neoplasms | Ifng
37619860 | Association | Neoplasms | Ccr7
37619860 | Association | Il10 | Il2
37619860 | Association | Il10 | Il4
37619860 | Association | Neoplasms | Cxcr4
37619860 | Association | Il2 | Il4
37619860 | Association | Ifng | Il4
37954617 | Bind | CXCL13L2 | XCR1
37954617 | Association | CD1B | XCR1
37954617 | Association | CD8A | XCR1
