38613283 | @CHEMICAL_Tungsten | Tungsten | 242 | 1 | Chemical | chemical | W
20465573 | @GENE_IL7 | IL7 | 1229 | 4 | Gene | gene | IL-7
20465573 | @GENE_CD4 | CD4 | 1285 | 3 | Gene | gene | CD4
20465573 | @GENE_LAMP1 | LAMP1 | 1420 | 6 | Gene | gene | CD107a
20465573 | @GENE_CD4 | CD4 | 1454 | 3 | Gene | gene | CD4
20465573 | @GENE_IFNG | IFNG | 1756 | 16 | Gene | gene | interferon-gamma
20465573 | @GENE_TNF | TNF | 1774 | 9 | Gene | gene | TNF-alpha
20465573 | @GENE_IFNG | IFNG | 1784 | 9 | Gene | gene | IFN-gamma
20465573 | @GENE_TNF | TNF | 1798 | 9 | Gene | gene | TNF-alpha
20465573 | @GENE_TNF | TNF | 1872 | 9 | Gene | gene | TNF-alpha
20465573 | @GENE_IFNG | IFNG | 1882 | 9 | Gene | gene | IFN-gamma
20465573 | @GENE_IL2 | IL2 | 1896 | 4 | Gene | gene | IL-2
20465573 | @GENE_CD8A | CD8A | 1930 | 3 | Gene | gene | CD8
20465573 | @GENE_IL2RA | IL2RA | 1955 | 4 | Gene | gene | CD25
20465573 | @GENE_FOXP3 | FOXP3 | 1972 | 5 | Gene | gene | FoxP3
20465573 | @GENE_CD8A | CD8A | 2013 | 3 | Gene | gene | CD8
20465573 | @GENE_IL2RA | IL2RA | 2042 | 4 | Gene | gene | CD25
20465573 | @GENE_FOXP3 | FOXP3 | 2055 | 5 | Gene | gene | FoxP3
20465573 | @GENE_IL7R | IL7R | 2103 | 10 | Gene | gene | IL-7Ralpha
20465573 | @GENE_CD4 | CD4 | 2162 | 3 | Gene | gene | CD4
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 855 | 20 | Disease | disease | Rheumatoid Arthritis
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 877 | 2 | Disease | disease | RA
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 925 | 2 | Disease | disease | RA
22046267 | @DISEASE_Neoplasms | Neoplasms | 1142 | 6 | Disease | disease | cancer
22046267 | @GENE_BDNF | BDNF | 1150 | 12 | Gene | gene | Neurotrophin
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1223 | 2 | Disease | disease | RA
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1303 | 2 | Disease | disease | RA
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1547 | 2 | Disease | disease | RA
22046267 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1635 | 2 | Disease | disease | RA
22046267 | @GENE_HLA_C | HLA-C | 1807 | 5 | Gene | gene | HLA-C
22046267 | @GENE_HLA_G | HLA-G | 1814 | 5 | Gene | gene | HLA-G
22046267 | @GENE_PRKCQ | PRKCQ | 1821 | 5 | Gene | gene | PRKCQ
22046267 | @GENE_PRKCZ | PRKCZ | 1828 | 5 | Gene | gene | PRKCZ
22046267 | @GENE_TAP1 | TAP1 | 1835 | 4 | Gene | gene | TAP1
22046267 | @GENE_TAP2 | TAP2 | 1841 | 4 | Gene | gene | TAP2
22238455 | @GENE_IL21 | IL21 | 0 | 5 | Gene | gene | IL-21
22238455 | @GENE_LCK | LCK | 32 | 3 | Gene | gene | Lck
22238455 | @GENE_STAT3 | STAT3 | 69 | 6 | Gene | gene | STAT-3
22238455 | @GENE_CD8A | CD8A | 102 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | Cd8a | 145 | 8 | Gene | gene | CD8alpha
22238455 | @GENE_CD8B1 | Cd8b1 | 174 | 7 | Gene | gene | CD8beta
22238455 | @GENE_CD8A | CD8A | 251 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 450 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 540 | 3 | Gene | gene | CD8
22238455 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 571 | 3 | Gene | gene | TCR
22238455 | @GENE_CD8A | CD8A | 611 | 3 | Gene | gene | CD8
22238455 | @GENE_LCK | LCK | 615 | 3 | Gene | gene | Lck
22238455 | @GENE_HLA_C | HLA-C | 655 | 3 | Gene | gene | MHC
22238455 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 659 | 3 | Gene | gene | TCR
22238455 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 793 | 3 | Gene | gene | TCR
22238455 | @GENE_CD8A | CD8A | 830 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 887 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 971 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 1076 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 1121 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 1182 | 3 | Gene | gene | CD8
22238455 | @GENE_CD8A | CD8A | 1277 | 3 | Gene | gene | CD8
22238455 | @GENE_IL21 | IL21 | 1349 | 5 | Gene | gene | IL-21
22238455 | @GENE_CD8A | CD8A | 1368 | 3 | Gene | gene | CD8
22238455 | @GENE_IL21 | IL21 | 1436 | 5 | Gene | gene | IL-21
22238455 | @GENE_STAT3 | STAT3 | 1479 | 5 | Gene | gene | STAT3
22238455 | @GENE_STAT1 | STAT1 | 1494 | 5 | Gene | gene | STAT1
22238455 | @GENE_CD8A | CD8A | 1545 | 3 | Gene | gene | CD8
22238455 | @GENE_STAT3 | STAT3 | 1651 | 5 | Gene | gene | STAT3
22238455 | @GENE_IL21 | IL21 | 1666 | 5 | Gene | gene | IL-21
22238455 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1705 | 3 | Gene | gene | TCR
22238455 | @GENE_CD8A | CD8A | 1741 | 3 | Gene | gene | CD8
23409078 | @GENE_EOMES | eomes | 0 | 12 | Gene | gene | Eomesodermin
23409078 | @GENE_LOC100329178 | LOC100329178 | 78 | 16 | Gene | gene | interferon gamma
23409078 | @GENE_EOMES | eomes | 129 | 12 | Gene | gene | Eomesodermin
23409078 | @GENE_EOMES | eomes | 143 | 5 | Gene | gene | Eomes
23409078 | @GENE_TBX21 | tbx21 | 153 | 5 | Gene | gene | T-bet
23409078 | @GENE_EOMES | eomes | 427 | 5 | Gene | gene | Eomes
23409078 | @GENE_EOMES | eomes | 481 | 5 | Gene | gene | Eomes
23409078 | @GENE_LOC106603766 | LOC106603766 | 601 | 5 | Gene | gene | Ets-1
23409078 | @GENE_EOMES | eomes | 767 | 5 | Gene | gene | Eomes
23409078 | @GENE_EOMES | eomes | 929 | 5 | Gene | gene | Eomes
23409078 | @GENE_EOMES | eomes | 1096 | 5 | Gene | gene | Eomes
23409078 | @GENE_CD8A | cd8a | 1106 | 8 | Gene | gene | CD8alpha
23409078 | @GENE_LOC100329178 | LOC100329178 | 1132 | 16 | Gene | gene | interferon gamma
23409078 | @GENE_LOC100329178 | LOC100329178 | 1150 | 9 | Gene | gene | IFN-gamma
23409078 | @GENE_GRAA | graa | 1165 | 10 | Gene | gene | granzyme A
23409078 | @DISEASE_Pancreatitis_Acute_Necrotizing | Pancreatitis Acute Necrotizing | 1240 | 42 | Disease | disease | Infectious Pancreatic Necrosis (IPN) virus
23409078 | @GENE_EOMES | eomes | 1423 | 5 | Gene | gene | Eomes
23409078 | @GENE_LOC100329178 | LOC100329178 | 1437 | 9 | Gene | gene | IFN-gamma
23409078 | @GENE_GRAA | graa | 1452 | 10 | Gene | gene | granzyme A
23409078 | @GENE_EOMES | eomes | 1565 | 5 | Gene | gene | Eomes
23409078 | @GENE_LOC100329178 | LOC100329178 | 1611 | 9 | Gene | gene | IFN-gamma
23409078 | @GENE_EOMES | eomes | 1639 | 5 | Gene | gene | Eomes
23409078 | @GENE_EOMES | eomes | 1776 | 5 | Gene | gene | Eomes
23409078 | @GENE_EOMES | eomes | 1882 | 5 | Gene | gene | Eomes
24058775 | @GENE_STAT3 | STAT3 | 43 | 5 | Gene | gene | STAT3
24058775 | @GENE_STAT3 | STAT3 | 267 | 5 | Gene | gene | STAT3
24058775 | @GENE_STAT3 | STAT3 | 375 | 5 | Gene | gene | STAT3
24058775 | @GENE_STAT3 | STAT3 | 606 | 5 | Gene | gene | STAT3
24058775 | @GENE_STAT3 | STAT3 | 687 | 5 | Gene | gene | STAT3
24058775 | @GENE_STAT3 | STAT3 | 769 | 5 | Gene | gene | STAT3
24058775 | @GENE_STAT3 | STAT3 | 884 | 5 | Gene | gene | STAT3
24058775 | @GENE_IL6 | IL6 | 1027 | 4 | Gene | gene | IL-6
24058775 | @GENE_STAT3 | STAT3 | 1075 | 5 | Gene | gene | STAT3
24058775 | @GENE_CISH | CISH | 1225 | 4 | Gene | gene | SOCS
24058775 | @GENE_PIAS3 | PIAS3 | 1276 | 5 | Gene | gene | PIAS3
24058775 | @GENE_SH2B3 | SH2B3 | 1350 | 3 | Gene | gene | LNK
24058775 | @GENE_STAT3 | STAT3 | 1355 | 5 | Gene | gene | STAT3
24058775 | @DISEASE_Leukemia_Large_Granular_Lymphocytic | Leukemia Large Granular Lymphocytic | 1463 | 42 | Disease | disease | T-cell large granular lymphocytic leukemia
24058775 | @GENE_CD8A | CD8A | 1527 | 3 | Gene | gene | CD8
24058775 | @DISEASE_Neutropenia | Neutropenia | 1595 | 11 | Disease | disease | neutropenia
24058775 | @DISEASE_IgA_Vasculitis | IgA Vasculitis | 1611 | 20 | Disease | disease | rheumatoid disorders
24058775 | @GENE_STAT3 | STAT3 | 1672 | 5 | Gene | gene | STAT3
24058775 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 1725 | 19 | Disease | disease | autoimmune diseases
25019899 | @CHEMICAL_Argon | Argon | 36 | 2 | Chemical | chemical | Ar
25019899 | @CHEMICAL_Argon | Argon | 48 | 2 | Chemical | chemical | Ar
25019899 | @CHEMICAL_Argon | Argon | 152 | 2 | Chemical | chemical | Ar
25972472 | @GENE_CD81 | Cd81 | 0 | 4 | Gene | gene | CD81
25972472 | @DISEASE_Listeriosis | Listeriosis | 26 | 18 | Disease | disease | Listeria infection
25972472 | @GENE_AKT1 | Akt1 | 53 | 3 | Gene | gene | rac
25972472 | @GENE_CD81 | Cd81 | 197 | 4 | Gene | gene | CD81
25972472 | @GENE_CD81 | Cd81 | 299 | 4 | Gene | gene | CD81
25972472 | @DISEASE_Infections | Infections | 330 | 9 | Disease | disease | infection
25972472 | @GENE_CD81 | Cd81 | 393 | 4 | Gene | gene | CD81
25972472 | @DISEASE_Superinfection | Superinfection | 446 | 20 | Disease | disease | microbial infections
25972472 | @GENE_CD81 | Cd81 | 549 | 4 | Gene | gene | CD81
25972472 | @GENE_CD81 | Cd81 | 655 | 4 | Gene | gene | CD81
25972472 | @DISEASE_Listeriosis | Listeriosis | 723 | 18 | Disease | disease | Listeria infection
25972472 | @DISEASE_Inflammation | Inflammation | 786 | 12 | Disease | disease | inflammatory
25972472 | @GENE_CD81 | Cd81 | 820 | 4 | Gene | gene | CD81
25972472 | @DISEASE_Bacterial_Infections | Bacterial Infections | 874 | 9 | Disease | disease | bacterial
25972472 | @GENE_CD81 | Cd81 | 927 | 4 | Gene | gene | CD81
25972472 | @GENE_AKT1 | Akt1 | 941 | 3 | Gene | gene | Rac
25972472 | @GENE_STAT1 | Stat1 | 945 | 6 | Gene | gene | STAT-1
25972472 | @GENE_TNF | Tnf | 1018 | 9 | Gene | gene | TNF-alpha
25972472 | @DISEASE_Inflammation | Inflammation | 1038 | 12 | Disease | disease | inflammatory
25972472 | @GENE_CD8A | Cd8a | 1106 | 8 | Gene | gene | CD8alpha
25972472 | @GENE_CD81 | Cd81 | 1167 | 4 | Gene | gene | CD81
25972472 | @GENE_AKT1 | Akt1 | 1172 | 3 | Gene | gene | Rac
25972472 | @DISEASE_Bacterial_Infections | Bacterial Infections | 1268 | 19 | Disease | disease | bacterial infection
25972472 | @GENE_CD81 | Cd81 | 1312 | 4 | Gene | gene | CD81
25972472 | @DISEASE_Communicable_Diseases | Communicable Diseases | 1372 | 19 | Disease | disease | infectious diseases
26946153 | @CHEMICAL_abacavir | abacavir | 229 | 8 | Chemical | chemical | abacavir
26946153 | @DISEASE_Hypersensitivity | Hypersensitivity | 238 | 25 | Disease | disease | hypersensitivity reaction
26946153 | @CHEMICAL_abacavir | abacavir | 343 | 8 | Chemical | chemical | abacavir
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 90 | 22 | Disease | disease | Acute Anterior Uveitis
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 273 | 22 | Disease | disease | acute anterior uveitis
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 297 | 3 | Disease | disease | AAU
27965977 | @DISEASE_Spondylitis_Ankylosing | Spondylitis Ankylosing | 318 | 22 | Disease | disease | ankylosing spondylitis
27965977 | @GENE_JAK1 | JAK1 | 405 | 4 | Gene | gene | JAK1
27965977 | @GENE_JAK2 | JAK2 | 411 | 4 | Gene | gene | JAK2
27965977 | @GENE_STAT1 | STAT1 | 417 | 5 | Gene | gene | STAT1
27965977 | @GENE_IRF1 | IRF1 | 424 | 4 | Gene | gene | IRF1
27965977 | @GENE_NOS2 | NOS2 | 434 | 4 | Gene | gene | NOS2
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 466 | 3 | Disease | disease | AAU
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 492 | 3 | Disease | disease | AAU
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 941 | 3 | Disease | disease | AAU
27965977 | @GENE_HLA_B | HLA-B | 1033 | 7 | Gene | gene | HLA-B27
27965977 | @VARIANT_rs10975003 | rs10975003 | 1108 | 10 | Variant | variant | rs10975003
27965977 | @VARIANT_rs10758669 | rs10758669 | 1123 | 10 | Variant | variant | rs10758669
27965977 | @GENE_JAK2 | JAK2 | 1138 | 4 | Gene | gene | JAK2
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 1147 | 3 | Disease | disease | AAU
27965977 | @DISEASE_Uveitis_Anterior | Uveitis Anterior | 1314 | 3 | Disease | disease | AAU
30291166 | @GENE_IL4 | Il4 | 0 | 4 | Gene | gene | IL-4
30291166 | @GENE_IL13 | Il13 | 9 | 5 | Gene | gene | IL-13
30291166 | @GENE_IL4 | Il4 | 106 | 4 | Gene | gene | IL-4
30291166 | @GENE_IL13 | Il13 | 115 | 5 | Gene | gene | IL-13
30291166 | @GENE_IL4RA | Il4ra | 240 | 10 | Gene | gene | IL-4Ralpha
30291166 | @GENE_IL13RA1 | Il13ra1 | 280 | 12 | Gene | gene | IL-13Ralpha1
30291166 | @GENE_STAT6 | Stat6 | 303 | 5 | Gene | gene | STAT6
30291166 | @GENE_IL4 | Il4 | 394 | 4 | Gene | gene | IL-4
30291166 | @GENE_IL13 | Il13 | 403 | 5 | Gene | gene | IL-13
30291166 | @GENE_STAT1 | Stat1 | 577 | 5 | Gene | gene | STAT1
30291166 | @GENE_STAT3 | Stat3 | 592 | 5 | Gene | gene | STAT3
30291166 | @GENE_STAT6 | Stat6 | 630 | 5 | Gene | gene | STAT6
30291166 | @GENE_STAT1 | Stat1 | 676 | 5 | Gene | gene | STAT1
30291166 | @GENE_IRF8 | Irf8 | 717 | 5 | Gene | gene | IRF-8
30291166 | @GENE_CD8A | Cd8a | 776 | 8 | Gene | gene | CD8alpha
30291166 | @GENE_STAT1 | Stat1 | 824 | 5 | Gene | gene | STAT1
30291166 | @GENE_IRF8 | Irf8 | 850 | 5 | Gene | gene | IRF-8
30291166 | @GENE_STAT6 | Stat6 | 895 | 5 | Gene | gene | STAT6
30291166 | @GENE_CD8A | Cd8a | 963 | 8 | Gene | gene | CD8alpha
30291166 | @GENE_CD8A | Cd8a | 1006 | 8 | Gene | gene | CD8alpha
30291166 | @GENE_SIRPA | Sirpa | 1081 | 9 | Gene | gene | SIRPalpha
30291166 | @GENE_IL4 | Il4 | 1174 | 4 | Gene | gene | IL-4
30291166 | @GENE_IL13 | Il13 | 1183 | 5 | Gene | gene | IL-13
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 0 | 26 | Chemical | chemical | Epigallocatechin-3 Gallate
30558329 | @GENE_STAT1 | STAT1 | 36 | 6 | Gene | gene | STAT-1
30558329 | @GENE_JAK2 | JAK2 | 43 | 4 | Gene | gene | JAK2
30558329 | @GENE_IRF1 | IRF1 | 48 | 5 | Gene | gene | IRF-1
30558329 | @GENE_HLA_B | HLA-B | 61 | 5 | Gene | gene | HLA-B
30558329 | @GENE_CD8A | CD8A | 79 | 3 | Gene | gene | CD8
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 104 | 15 | Disease | disease | Alopecia Areata
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 142 | 15 | Disease | disease | Alopecia areata
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 159 | 2 | Disease | disease | AA
30558329 | @GENE_IFNG | IFNG | 182 | 17 | Gene | gene | Interferon- gamma
30558329 | @GENE_IFNG | IFNG | 201 | 9 | Gene | gene | IFN-gamma
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 304 | 26 | Chemical | chemical | Epigallocatechin-3-gallate
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 332 | 4 | Chemical | chemical | EGCG
30558329 | @GENE_IFNG | IFNG | 360 | 9 | Gene | gene | IFN-gamma
30558329 | @GENE_JAK1 | JAK1 | 412 | 4 | Gene | gene | JAK1
30558329 | @GENE_JAK2 | JAK2 | 417 | 4 | Gene | gene | JAK2
30558329 | @CHEMICAL_tofacitinib | tofacitinib | 435 | 11 | Chemical | chemical | tofacitinib
30558329 | @CHEMICAL_ruxolitinib | ruxolitinib | 448 | 11 | Chemical | chemical | ruxolitinib
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 462 | 4 | Chemical | chemical | EGCG
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 578 | 4 | Chemical | chemical | EGCG
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 686 | 2 | Disease | disease | AA
30558329 | @GENE_CD8A | CD8A | 814 | 3 | Gene | gene | CD8
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 845 | 2 | Disease | disease | AA
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 961 | 4 | Chemical | chemical | EGCG
30558329 | @GENE_STAT1 | STAT1 | 1089 | 5 | Gene | gene | STAT1
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 1143 | 2 | Disease | disease | AA
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 1187 | 4 | Chemical | chemical | EGCG
30558329 | @GENE_STAT1 | STAT1 | 1247 | 5 | Gene | gene | STAT1
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 1314 | 2 | Disease | disease | AA
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 1361 | 4 | Chemical | chemical | EGCG
30558329 | @GENE_STAT1 | STAT1 | 1371 | 5 | Gene | gene | STAT1
30558329 | @GENE_JAK2 | JAK2 | 1438 | 4 | Gene | gene | JAK2
30558329 | @GENE_JAK1 | JAK1 | 1451 | 4 | Gene | gene | JAK1
30558329 | @GENE_HLA_B | HLA-B | 1522 | 5 | Gene | gene | HLA-B
30558329 | @GENE_IRF1 | IRF1 | 1553 | 5 | Gene | gene | IRF-1
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 1579 | 2 | Disease | disease | AA
30558329 | @GENE_CD8A | CD8A | 1645 | 3 | Gene | gene | CD8
30558329 | @GENE_IFNG | IFNG | 1677 | 9 | Gene | gene | IFN-gamma
30558329 | @DISEASE_Alopecia_Areata | Alopecia Areata | 1709 | 2 | Disease | disease | AA
30558329 | @GENE_CD8A | CD8A | 1818 | 3 | Gene | gene | CD8
30558329 | @GENE_CD8A | CD8A | 1910 | 3 | Gene | gene | CD8
30558329 | @GENE_KLRK1 | KLRK1 | 1935 | 31 | Gene | gene | Natural killer group 2 member D
30558329 | @GENE_KLRK1 | KLRK1 | 1968 | 5 | Gene | gene | NKG2D
30558329 | @GENE_CD8A | CD8A | 1999 | 3 | Gene | gene | CD8
30558329 | @GENE_KLRK1 | KLRK1 | 2004 | 5 | Gene | gene | NKG2D
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 2081 | 4 | Chemical | chemical | EGCG
30558329 | @CHEMICAL_epigallocatechin_gallate | epigallocatechin gallate | 2135 | 4 | Chemical | chemical | EGCG
30558329 | @GENE_HLA_B | HLA-B | 2204 | 5 | Gene | gene | HLA-B
30558329 | @GENE_IFNG | IFNG | 2228 | 9 | Gene | gene | IFN-gamma
30558329 | @GENE_CD8A | CD8A | 2298 | 3 | Gene | gene | CD8
30558329 | @GENE_KLRK1 | KLRK1 | 2303 | 5 | Gene | gene | NKG2D
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 87 | 13 | Disease | disease | breast cancer
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 202 | 13 | Disease | disease | breast cancer
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 366 | 13 | Disease | disease | breast cancer
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 438 | 13 | Disease | disease | breast cancer
30859354 | @DISEASE_Neoplasms | Neoplasms | 494 | 6 | Disease | disease | Cancer
30859354 | @GENE_MIR21 | MIR21 | 564 | 6 | Gene | gene | miR-21
30859354 | @GENE_MIR22 | MIR22 | 572 | 6 | Gene | gene | miR-22
30859354 | @GENE_MIR210 | MIR210 | 580 | 7 | Gene | gene | miR-210
30859354 | @GENE_MIR221 | MIR221 | 589 | 7 | Gene | gene | miR-221
30859354 | @GENE_MIR222 | MIR222 | 602 | 7 | Gene | gene | miR-222
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 815 | 13 | Disease | disease | breast cancer
30859354 | @GENE_STAT1 | STAT1 | 1080 | 50 | Gene | gene | signal transducer and activator of transcription 1
30859354 | @GENE_STAT1 | STAT1 | 1132 | 5 | Gene | gene | STAT1
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1278 | 13 | Disease | disease | breast cancer
30859354 | @GENE_MIR21 | MIR21 | 1350 | 6 | Gene | gene | miR-21
30859354 | @GENE_MIR22 | MIR22 | 1361 | 6 | Gene | gene | miR-22
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1510 | 13 | Disease | disease | breast cancer
30859354 | @GENE_PSMB9 | PSMB9 | 1655 | 5 | Gene | gene | PSMB9
30859354 | @GENE_HLA_C | HLA-C | 1662 | 5 | Gene | gene | HLA-C
30859354 | @GENE_PLAAT4 | PLAAT4 | 1669 | 7 | Gene | gene | RARRES3
30859354 | @GENE_UBE2L6 | UBE2L6 | 1678 | 6 | Gene | gene | UBE2L6
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1798 | 13 | Disease | disease | breast cancer
30859354 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1955 | 13 | Disease | disease | breast cancer
31103287 | @DISEASE_Infertility_Male | Infertility Male | 91 | 16 | Disease | disease | male infertility
31103287 | @GENE_PDHA2 | PDHA2 | 1230 | 5 | Gene | gene | PDHA2
31103287 | @GENE_PARP12 | PARP12 | 1237 | 6 | Gene | gene | PARP12
31103287 | @GENE_FHIT | FHIT | 1245 | 4 | Gene | gene | FHIT
31103287 | @GENE_RPTOR | RPTOR | 1251 | 5 | Gene | gene | RPTOR
31103287 | @GENE_GSTM1 | GSTM1 | 1258 | 5 | Gene | gene | GSTM1
31103287 | @GENE_GSTM5 | GSTM5 | 1265 | 5 | Gene | gene | GSTM5
31103287 | @GENE_MAGI2 | MAGI2 | 1272 | 5 | Gene | gene | MAGI2
31103287 | @GENE_BCAN | BCAN | 1279 | 4 | Gene | gene | BCAN
31103287 | @GENE_DDB2 | DDB2 | 1285 | 4 | Gene | gene | DDB2
31103287 | @GENE_KDM4C | KDM4C | 1291 | 5 | Gene | gene | KDM4C
31103287 | @GENE_AGPAT3 | AGPAT3 | 1298 | 6 | Gene | gene | AGPAT3
31103287 | @GENE_CAMTA1 | CAMTA1 | 1306 | 6 | Gene | gene | CAMTA1
31103287 | @GENE_CCR6 | CCR6 | 1314 | 4 | Gene | gene | CCR6
31103287 | @GENE_CUX1 | CUX1 | 1320 | 4 | Gene | gene | CUX1
31103287 | @GENE_DNAH17 | DNAH17 | 1326 | 6 | Gene | gene | DNAH17
31103287 | @GENE_ELMO1 | ELMO1 | 1334 | 5 | Gene | gene | ELMO1
31103287 | @GENE_FNDC3B | FNDC3B | 1341 | 6 | Gene | gene | FNDC3B
31103287 | @GENE_GNRHR | GNRHR | 1349 | 5 | Gene | gene | GNRHR
31103287 | @GENE_HDAC4 | HDAC4 | 1356 | 5 | Gene | gene | HDAC4
31103287 | @GENE_IRS2 | IRS2 | 1363 | 4 | Gene | gene | IRS2
31103287 | @GENE_LIF | LIF | 1369 | 3 | Gene | gene | LIF
31103287 | @GENE_SMAD3 | SMAD3 | 1374 | 5 | Gene | gene | SMAD3
31103287 | @GENE_SOD3 | SOD3 | 1381 | 4 | Gene | gene | SOD3
31103287 | @GENE_TALDO1 | TALDO1 | 1387 | 6 | Gene | gene | TALDO1
31103287 | @GENE_TRIM27 | TRIM27 | 1395 | 6 | Gene | gene | TRIM27
31103287 | @GENE_GAA | GAA | 1403 | 3 | Gene | gene | GAA
31103287 | @GENE_PAX8 | PAX8 | 1408 | 4 | Gene | gene | PAX8
31103287 | @GENE_RNF39 | RNF39 | 1414 | 5 | Gene | gene | RNF39
31103287 | @GENE_HLA_C | HLA-C | 1421 | 5 | Gene | gene | HLA-C
31103287 | @GENE_HLA_DRB6 | HLA-DRB6 | 1428 | 8 | Gene | gene | HLA-DRB6
31103287 | @GENE_NFATC1 | NFATC1 | 1460 | 6 | Gene | gene | NFATC1
31103287 | @GENE_NMNAT3 | NMNAT3 | 1468 | 6 | Gene | gene | NMNAT3
31103287 | @GENE_PIAS2 | PIAS2 | 1476 | 5 | Gene | gene | PIAS2
31103287 | @GENE_SRPK2 | SRPK2 | 1483 | 5 | Gene | gene | SRPK2
31103287 | @GENE_WDR36 | WDR36 | 1490 | 5 | Gene | gene | WDR36
31103287 | @GENE_WWP2 | WWP2 | 1497 | 4 | Gene | gene | WWP2
31103287 | @GENE_PTPRN2 | PTPRN2 | 1574 | 6 | Gene | gene | PTPRN2
31103287 | @GENE_RPH3AL | RPH3AL | 1582 | 6 | Gene | gene | RPH3AL
31103287 | @DISEASE_Infertility_Male | Infertility Male | 1700 | 16 | Disease | disease | male infertility
31103287 | @DISEASE_Infertility_Male | Infertility Male | 1796 | 16 | Disease | disease | male infertility
31177636 | @GENE_IFNG | IFNG | 10 | 16 | Gene | gene | interferon-gamma
31177636 | @GENE_KIR3DL1 | KIR3DL1 | 55 | 3 | Gene | gene | KIR
31177636 | @DISEASE_Hepatitis_C | Hepatitis C | 83 | 27 | Disease | disease | hepatitis C virus infection
31177636 | @GENE_KIR3DL1 | KIR3DL1 | 204 | 41 | Gene | gene | killer-cell immunoglobulin-like receptors
31177636 | @GENE_KIR3DL1 | KIR3DL1 | 247 | 3 | Gene | gene | KIR
31177636 | @GENE_HLA_A | HLA-A | 256 | 3 | Gene | gene | HLA
31177636 | @DISEASE_Virus_Diseases | Virus Diseases | 275 | 5 | Disease | disease | viral
31177636 | @GENE_KIR3DL1 | KIR3DL1 | 403 | 7 | Gene | gene | KIR3DL1
